사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-11,1호선,1,서울역,970425,919628,163629,153605
2020-11,1호선,10,동묘앞,123243,131205,130264,131631
2020-11,1호선,2,시청,470299,476546,61681,59054
2020-11,1호선,3,종각,779391,757727,111601,103762
2020-11,1호선,4,종로3가,415759,380983,253486,236161
2020-11,1호선,5,종로5가,342225,351197,205830,197086
2020-11,1호선,6,동대문,209906,213469,106156,108389
2020-11,1호선,7,신설동,263272,252254,100228,93219
2020-11,1호선,8,제기동,223204,216130,240998,257699
2020-11,1호선,9,청량리(서울시립대입구),320602,315752,238000,240168
2020-11,2호선,11,시청,524632,511719,44104,39821
2020-11,2호선,12,을지로입구,884315,901765,82722,77068
2020-11,2호선,13,을지로3가,449301,443587,63347,62139
2020-11,2호선,14,을지로4가,242047,239721,76027,74017
2020-11,2호선,15,동대문역사문화공원(DDP),275264,313519,45136,47079
2020-11,2호선,16,신당,280186,287757,81594,83765
2020-11,2호선,17,상왕십리,306144,291777,53389,53577
2020-11,2호선,18,왕십리(성동구청),383668,313343,43824,37688
2020-11,2호선,19,한양대,193058,210112,11357,11982
2020-11,2호선,20,뚝섬,464807,502197,49093,49896
2020-11,2호선,21,성수,724190,801708,87999,89600
2020-11,2호선,22,건대입구,854644,931533,75583,78360
2020-11,2호선,23,구의(광진구청),514889,498996,85263,87241
2020-11,2호선,24,강변(동서울터미널),755109,757373,98010,96939
2020-11,2호선,25,잠실나루,291315,280661,67255,67642
2020-11,2호선,26,잠실(송파구청),1604232,1593912,148702,142275
2020-11,2호선,27,잠실새내,441550,446894,80892,81300
2020-11,2호선,28,종합운동장,168002,190987,33308,34740
2020-11,2호선,29,삼성(무역센터),1201492,1236299,92887,85746
2020-11,2호선,30,선릉,1178665,1057066,178261,159007
2020-11,2호선,31,역삼,1053138,1175501,125579,126605
2020-11,2호선,32,강남,2019373,2046712,144790,129444
2020-11,2호선,33,교대(법원.검찰청),723089,816436,128237,142660
2020-11,2호선,34,서초,499790,485481,66637,65907
2020-11,2호선,35,방배,393581,412395,61361,60295
2020-11,2호선,36,사당,831809,950225,147808,142005
2020-11,2호선,37,낙성대(강감찬),636704,606326,88522,90319
2020-11,2호선,38,서울대입구(관악구청),1103420,1071620,151581,143923
2020-11,2호선,39,봉천,517380,463785,117347,117122
2020-11,2호선,40,신림,1494668,1430345,185327,187900
2020-11,2호선,41,신대방,591781,565130,103161,104167
2020-11,2호선,42,구로디지털단지,1418737,1418268,137282,139421
2020-11,2호선,43,대림(구로구청),574779,583775,95776,99234
2020-11,2호선,44,신도림,1149172,1139108,160860,151174
2020-11,2호선,45,문래,467328,480273,64890,64161
2020-11,2호선,46,영등포구청,493039,501247,83498,82124
2020-11,2호선,47,당산,442974,514235,48526,53117
