사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-11,1호선,1,서울역,753,12,8675,5917,11072,34568,32647,84323,59127,182958,41390,124908,38848,59621,45649,49485,56164,51200,59894,52535,50166,50577,69417,53760,73931,55324,129234,66072,183615,69504,94572,47544,63184,30685,61979,25260,40086,17788,13602,10361,49,831,0,0,0,0,0,0
2020-11,1호선,10,동묘앞,123,1,3339,806,3256,3710,5769,7812,8088,20840,6810,17339,7547,17530,11792,23349,17177,26998,24148,30958,28516,28971,32662,23891,31980,17500,29852,11973,19668,9191,8718,5955,5118,4028,4856,4011,2979,3821,1107,2751,1,1400,0,1,1,0,0,0
2020-11,1호선,2,시청,46,0,1906,3756,2883,18456,5827,55342,7572,159654,8301,75582,9008,31325,13391,28740,15406,25032,19664,25844,24861,21661,33005,19081,38620,16587,69711,16979,129123,16850,48632,7992,38231,4717,37627,3800,21534,2452,6610,1598,22,152,0,0,0,0,0,0
2020-11,1호선,3,종각,122,0,2851,4092,3442,22727,5353,96718,8357,219005,10185,129146,13298,52576,20795,41796,27078,38923,34326,41067,40433,34782,52948,30333,61859,30224,123235,34138,190651,42604,82999,22583,68519,8686,74284,5656,51200,3847,18973,2402,81,182,0,1,3,1,0,0
2020-11,1호선,4,종로3가,175,11,3652,3050,3448,11299,4655,22869,7046,65995,9708,70469,17330,55856,26846,54090,36216,53293,44880,55060,48904,48446,56171,40334,62258,34197,71916,31037,94262,34071,54470,17415,39668,7076,44288,5347,32207,3765,11090,2781,51,681,2,1,1,1,1,0
2020-11,1호선,5,종로5가,90,0,1602,3490,2385,13994,4260,34800,6690,100423,9608,61856,14488,44445,22488,40371,28313,39840,34237,40764,41383,37704,46779,32746,52482,27379,71600,23472,94499,20560,45564,11329,28692,5313,23037,4208,15141,3136,4689,2113,28,339,0,1,0,0,0,0
2020-11,1호선,6,동대문,655,9,12826,1990,8925,6480,14146,10715,18390,22334,17102,21955,15143,21451,16320,23733,20120,23564,21206,23398,23013,22201,23687,21204,24813,19184,25646,19190,22783,19284,15058,20137,12250,13478,11159,10824,8818,9862,3971,9641,31,1224,0,0,0,0,0,0
2020-11,1호선,7,신설동,362,6,8355,2451,7878,7746,16191,21796,23703,57614,15582,33715,13972,19467,16562,16303,17694,16972,20334,18914,20206,16791,21665,17115,28234,17726,39341,20355,56530,24917,20875,17452,13277,10914,12447,10101,7589,8445,2682,6065,19,608,0,0,1,0,1,0
2020-11,1호선,8,제기동,453,4,4777,1916,7698,7406,20120,18151,29902,39622,20383,33050,21825,34176,29747,40311,36250,41583,39653,45548,43294,45837,47061,39172,43532,28832,40090,23028,35167,24020,16292,17241,10275,10375,8765,9828,6611,8155,2292,5094,11,478,1,1,3,1,0,0
2020-11,1호선,9,청량리(서울시립대입구),1292,16,9852,5023,14384,16328,36708,15230,45119,33172,30256,30960,26164,32764,31785,37232,37041,38735,38673,41285,42062,46533,45730,43408,50854,38591,48091,38783,39076,46050,21953,31676,16767,18646,11836,17438,8050,14488,2855,8281,54,1281,0,0,0,0,0,0
2020-11,2호선,11,시청,24,0,867,1473,1793,13916,4179,59717,6433,196852,8199,87977,10856,24668,16115,21191,16635,20352,20708,21978,25969,19554,31564,17686,35429,14841,79536,16248,162367,15658,54046,7740,37096,3741,32780,3347,18790,2541,5336,1922,11,136,2,2,1,0,0,0
2020-11,2호선,12,을지로입구,93,1,1851,1863,2838,23097,6630,105625,11853,274851,12933,144200,15762,60139,23013,50675,28407,43261,38415,41426,44633,36395,54644,33392,64477,31834,139436,36646,230625,39127,99355,20450,89895,10618,57945,9479,34395,7857,9832,5293,5,2604,0,0,0,0,0,0
2020-11,2호선,13,을지로3가,12,0,837,1689,1957,16303,4989,59514,8715,141659,9153,67128,10593,29484,14037,21689,15658,19638,19029,21833,22578,19585,26553,17293,33784,17354,70424,19408,120887,23268,49648,12845,33297,6088,33527,4820,26164,3586,10799,2325,7,217,0,0,0,0,0,0
2020-11,2호선,14,을지로4가,5,1,903,1076,1383,11092,2675,29383,5006,74520,6243,42747,8003,22149,11727,19461,14402,17430,15472,17011,18773,16542,22388,14984,26383,12447,50622,10890,65109,9427,30532,5534,15655,2977,12321,2692,7757,2023,2710,1230,5,122,0,0,0,0,0,0
2020-11,2호선,15,동대문역사문화공원(DDP),315,1,7209,874,4767,6721,6015,21048,9315,50164,8842,29783,8914,23326,12191,23443,15817,21020,16629,21977,19516,21773,23694,19960,30792,17474,37860,18464,39927,21546,24790,23884,17763,14243,18924,10284,12007,7410,5104,6661,7,542,1,0,0,0,1,0
2020-11,2호선,16,신당,34,0,6033,1137,10829,7239,24579,15674,41524,34001,24858,22265,16604,16945,16039,17128,17900,17994,19350,18943,19724,19670,20394,20635,23399,23286,28169,29807,31931,41756,20289,28674,14796,17115,12568,16901,8974,13095,3783,9027,3,230,0,0,0,0,0,0
2020-11,2호선,17,상왕십리,87,0,5162,588,11602,4759,35818,10879,59229,33297,30214,19162,18052,12354,17199,11076,17945,12639,17300,14507,15712,14428,17124,16830,17870,19749,22641,28899,27362,47943,16260,32360,10712,20052,10226,19589,6937,15574,2078,10621,3,47,0,1,0,0,0,0
2020-11,2호선,18,왕십리(성동구청),943,6,6474,805,9109,4842,24173,10897,43016,26937,26420,17780,16596,12737,16574,12994,19470,15719,20570,16713,21036,17030,22723,18517,27538,21722,33764,30477,37572,50624,22622,32578,21570,18745,23648,16623,21898,14335,11652,10698,121,250,1,1,2,1,0,0
2020-11,2호선,19,한양대,5,0,902,307,1917,5264,4652,9979,7781,38691,5489,29930,5445,18676,8374,11914,9841,15025,10115,16494,10841,13532,13363,9159,19120,8859,29966,10658,27581,11790,13113,6479,11242,4491,12068,4315,9019,3677,3580,2835,1,19,0,0,0,0,0,0
2020-11,2호선,20,뚝섬,17,0,3425,2092,7542,12846,18069,31032,26732,124784,15885,77575,12438,29434,13268,22399,15808,22900,18825,25425,21997,23554,25344,23630,33401,25059,52896,28712,110868,38262,54987,23570,31078,13330,27769,11541,18287,9296,5258,6535,6,115,0,0,0,2,0,0
2020-11,2호선,21,성수,36,0,4962,3308,8895,25541,23387,63457,30365,249513,23480,121206,18553,42817,19805,31223,22353,32899,27263,36714,30928,33860,34988,34831,46311,35382,91990,40548,198566,50633,88785,32286,51267,16858,48303,14263,31972,12246,9963,10168,17,3554,0,1,0,0,0,0
2020-11,2호선,22,건대입구,310,17,16565,2190,20365,17375,50670,24578,87939,61055,58080,45504,32221,35439,31081,36785,36045,44679,40276,52536,41891,52761,45762,56626,53540,65555,65919,92557,81173,141297,57498,99558,58187,56782,63874,53187,59597,42374,29198,25391,35,3647,1,0,0,0,0,0
2020-11,2호선,23,구의(광진구청),30,0,12944,1159,24017,8969,62032,13964,107040,36993,61150,22580,30566,17459,26002,17613,27075,20102,27405,22600,24816,24463,24434,30741,27974,35982,33257,50286,40223,86281,20539,64763,16266,40650,15857,38882,12887,33368,5624,17874,13,1508,1,0,0,0,0,0
2020-11,2호선,24,강변(동서울터미널),13,0,8091,2215,24746,20075,71461,25065,104078,43727,73806,37083,51921,35529,46769,33106,45800,38925,45177,43706,42689,47059,43600,53247,47554,59700,52755,75113,60196,109364,46181,79526,35518,50785,28403,42610,18260,36764,6089,19621,12,1092,0,0,0,0,0,0
2020-11,2호선,25,잠실나루,5,3,2627,1432,10123,8742,35736,20954,44658,35798,26840,24356,19631,16498,19403,14271,18580,17340,17801,18430,18861,16082,20971,16261,25206,17003,30749,23142,29198,36661,13794,27821,10072,16178,7514,15601,5145,13270,1649,8287,7,172,0,1,0,0,0,0
2020-11,2호선,26,잠실(송파구청),107,24,11198,4689,40805,36315,98855,68337,148167,153024,107124,133886,66420,79973,65457,79190,72983,82014,80592,88181,81744,87330,91037,93654,109395,107335,152523,134322,195091,195971,126565,134770,122771,80586,97328,75117,67044,63565,17693,36452,33,1452,0,0,1,0,1,0
2020-11,2호선,27,잠실새내,16,1,4680,899,14056,7491,49915,15389,68387,24848,39840,25691,24663,20522,22394,20497,24523,22860,26088,26089,23342,27328,25337,30424,30700,35031,32564,48740,35976,75921,25503,54471,22237,29662,23374,26021,19893,22830,8937,12002,17,1477,0,0,0,0,0,0
2020-11,2호선,28,종합운동장,10,0,1466,1029,5326,6266,15899,12547,22044,22797,15675,11549,9448,7849,8545,6792,8680,8350,9272,10830,9266,10127,12908,9683,12631,11789,15951,20910,15569,33046,8228,18029,6641,10052,11470,9792,9749,8617,2523,5153,4,516,5,4,0,0,0,0
2020-11,2호선,29,삼성(무역센터),162,1,4657,4680,6577,37529,14589,120500,19431,308413,19207,230504,20003,97887,29245,66094,37755,58518,49329,64388,59579,55484,73520,48545,92583,46293,172109,49247,280802,55641,153560,30230,106905,15675,87207,13142,54583,9785,12568,6359,7,3130,1,0,0,0,0,0
2020-11,2호선,30,선릉,85,1,4214,6031,10038,38064,19630,104839,29155,268905,28179,212032,30545,88369,41220,58252,47739,51279,57693,58982,66226,51143,82775,45156,115397,43807,172892,47143,274474,52424,136505,33350,84475,18951,79962,16040,57714,13101,18001,7810,6,394,0,0,1,0,0,0
2020-11,2호선,31,역삼,100,2,3679,6975,8133,45489,13472,110760,22870,306947,22234,261866,20819,98416,28737,56206,35693,48480,40906,53769,49499,46280,65086,41605,86636,38909,172088,45780,260773,52609,133570,33964,76781,19253,75160,15668,47784,11385,14689,7684,6,59,0,0,0,0,2,0
2020-11,2호선,32,강남,175,3,9566,10987,18069,49086,34104,142250,58156,310202,47670,319386,44211,147560,59843,103807,78248,100854,96444,120414,102133,105869,129228,100106,149447,100161,229638,126965,332632,177862,209371,116642,159795,51923,187562,41087,163419,29770,54414,21141,32,81,3,0,3,0,0,0
2020-11,2호선,33,교대(법원.검찰청),18,1,2420,6957,11005,26274,22402,55246,33235,146830,25891,135592,24498,66198,30057,51030,33904,47349,40215,55009,47852,49388,54701,45697,60806,43393,94476,53854,141592,66696,65566,42407,50830,22376,56809,19269,41609,15521,13436,9891,4,118,0,0,0,0,0,0
2020-11,2호선,34,서초,28,0,1253,4724,9213,19290,15120,47568,23031,118111,23409,92948,17427,39669,22457,28617,21487,22265,28288,25593,30106,23616,36073,20443,42004,20500,68114,21576,103615,22891,45621,14737,28373,9527,28747,8244,17275,7101,4783,3959,2,9,0,0,0,0,1,0
2020-11,2호선,35,방배,12,1,2612,3432,8730,13777,21629,27028,31085,73187,24620,47591,16729,24276,17637,20531,19819,20678,22252,22272,23760,22910,26691,21539,32940,22818,43827,30384,68674,38515,29402,27935,20893,17267,21190,16357,16196,14293,6241,7838,1,61,2,0,0,0,0,0
2020-11,2호선,36,사당,133,7,12322,3423,22684,28784,68325,41045,97839,64554,68803,48168,40999,38387,37495,41059,43600,41797,46041,45010,46446,45828,47747,53846,52787,71859,66103,99605,87258,151323,57941,110039,51655,62625,57819,58749,50507,50786,23081,32363,27,2973,0,0,4,0,1,0
2020-11,2호선,37,낙성대(강감찬),45,9,11304,2064,23962,8591,74941,17472,120956,35513,76975,30955,39072,22836,31770,20533,35085,23610,34759,26404,31449,28548,32054,33782,35115,38944,42187,55817,47100,92893,27136,83059,20385,53075,19525,49557,15156,45347,6246,25437,4,2199,0,0,0,0,0,0
2020-11,2호선,38,서울대입구(관악구청),4214,20,27445,2499,40664,12909,119938,27429,183150,58986,115739,59186,60802,43489,52856,39957,56760,44322,59606,51440,55625,52146,58429,60259,66373,70451,74968,98358,86001,166038,51420,143601,42238,83067,44654,78666,38501,69188,15607,40734,11,12798,0,0,0,0,0,0
2020-11,2호선,39,봉천,70,3,15128,1405,26645,6458,77573,11699,119929,24672,69429,19673,36182,17812,28525,18267,30760,20455,30980,22974,26059,25125,26038,32924,27261,36483,29018,51286,31605,82520,18240,69615,14454,43574,13426,40952,10178,34068,3224,20434,3,508,0,0,0,0,0,0
